n	tiempo
0	1e-06
1	1e-06
2	1e-06
3	0
4	1e-06
5	1e-06
6	1e-06
7	2e-06
8	2e-06
9	4e-06
10	7e-06
11	1.4e-05
12	2.8e-05
13	5.6e-05
14	0.00011
15	0.00022
16	0.000445
17	0.000884
18	0.001794
19	0.003512
20	0.007043
21	0.014271
22	0.028162
23	0.056153
24	0.112213
25	0.225098
26	0.443074
27	0.89031
28	1.76631
29	3.53633
30	7.12537
31	14.1561
32	28.1888
