,IPsrc,IPdst,Latencia
0,172.18.64.1,8.243.138.29,16.04618628819783
1,192.168.0.1,8.243.138.29,23.77592949640183
2,8.243.138.29,195.122.183.218,203.04347078005475
3,195.122.183.218,87.226.181.85,40.27259349822998
4,87.226.181.85,188.254.79.66,21.29921317100525
