n	time
1	1
2	1915
3	4786
4	7623
5	11423
6	15201
7	19035
8	22854
9	27639
10	32402
11	37146
12	41927
13	46697
14	51432
15	56188
16	60915
17	66681
18	72389
19	78115
20	83864
21	89561
22	95268
23	101011
24	106739
25	112405
26	118084
27	123825
28	129569
29	135310
30	141013
31	146711
32	152413
33	159087
34	165686
35	172334
36	178997
37	185661
38	192332
39	199073
40	205740
41	212433
42	219057
43	225734
44	232449
45	239083
46	245698
47	252435
48	259126
49	265788
50	272402
51	278984
52	285680
53	292340
54	298940
55	305540
56	312237
57	318828
58	325541
59	332208
60	338858
61	345506
62	352126
63	358753
64	365413
65	373027
66	380639
67	388217
68	395853
69	403472
70	411105
71	418755
72	426341
73	433949
74	441627
75	449242
76	456870
77	464448
78	472057
79	479678
80	487266
81	494884
82	502494
83	510064
84	517624
85	525194
86	532822
87	540383
88	548025
89	555661
90	563286
91	570811
92	578422
93	586043
94	593644
95	601315
96	608970
97	616551
98	624170
99	631774
100	639399
101	646990
102	654625
103	662176
104	669808
105	677422
106	685036
107	692677
108	700221
109	707849
110	715520
111	723169
112	730805
113	738445
114	746004
115	753679
116	761270
117	768906
118	776539
119	784213
120	791867
121	799492
122	807147
123	814818
124	822454
125	830068
126	837687
127	845240
128	852806
129	861426
130	869871
131	878361
132	886896
133	895476
134	904050
135	912680
136	921232
137	929787
138	938237
139	946785
140	955405
141	964057
142	972643
143	981253
144	989699
145	998307
146	1006868
147	1015447
148	1024038
149	1032637
150	1041221
151	1049785
152	1058395
153	1066905
154	1075465
155	1084048
156	1092675
157	1101229
158	1109723
159	1118321
160	1126926
161	1135599
162	1144130
163	1152782
164	1161332
165	1169899
166	1178439
167	1187010
168	1195583
169	1204149
170	1212715
171	1221364
172	1229939
173	1238439
174	1247049
175	1255641
176	1264146
177	1272755
178	1281197
179	1289832
180	1298409
181	1306958
182	1315485
183	1324075
184	1332706
185	1341366
186	1349956
187	1358556
188	1367040
189	1375501
190	1384073
191	1392695
192	1401282
193	1409762
194	1418254
195	1426812
196	1435422
197	1443906
198	1452384
199	1460990
200	1469554
201	1478252
202	1486719
203	1495333
204	1503914
205	1512526
206	1521117
207	1529677
208	1538286
209	1546943
210	1555498
211	1564123
212	1572784
213	1581371
214	1589966
215	1598348
216	1606908
217	1615378
218	1623960
219	1632573
220	1641130
221	1649654
