n	time
641	601083
642	602176
643	603287
644	604392
645	605489
646	606577
647	607645
648	608745
649	609853
650	610957
651	612059
652	613154
653	614245
654	615349
655	616455
656	617543
657	618650
658	619740
659	620847
660	621951
661	623038
662	624148
663	625247
664	626349
665	627453
666	628557
667	629640
668	630742
669	631848
670	632951
671	634042
672	635142
673	636221
674	637320
675	638433
676	639531
677	640616
678	641730
679	642829
680	643927
681	645041
682	646134
683	647218
684	648321
685	649404
686	650487
687	651589
688	652690
689	653785
690	654891
691	655995
692	657105
693	658185
694	659272
695	660385
696	661479
697	662585
698	663673
699	664775
700	665880
701	666983
702	668076
703	669176
704	670267
705	671369
706	672451
707	673550
708	674649
709	675747
710	676833
711	677939
712	679039
713	680151
714	681235
715	682331
716	683436
717	684540
718	685617
719	686735
720	687832
721	688910
722	690011
723	691114
724	692189
725	693313
726	694416
727	695488
728	696594
729	697700
730	698805
731	699913
732	701014
733	702093
734	703177
735	704304
736	705401
737	706479
738	707559
739	708673
740	709783
741	710878
742	711966
743	713077
744	714176
745	715287
746	716387
747	717495
748	718596
749	719694
750	720779
751	721877
752	722977
753	724058
754	725161
755	726236
756	727344
757	728437
758	729551
759	730643
760	731732
761	732811
762	733915
763	735010
764	736105
765	737198
766	738300
767	739408
768	740501
769	741590
770	742687
771	743801
772	744904
773	746002
774	747093
775	748204
776	749304
777	750385
778	751477
779	752591
780	753670
781	754746
782	755845
783	756966
784	758045
785	759143
786	760245
787	761346
788	762447
789	763558
790	764642
791	765747
792	766826
793	767897
794	768987
795	770115
796	771199
797	772288
798	773383
799	774458
800	775563
801	776680
802	777790
803	778881
804	779971
805	781077
806	782168
807	783262
808	784368
809	785450
810	786535
811	787637
812	788733
813	789808
814	790911
815	792006
816	793113
817	794198
818	795302
819	796403
820	797488
821	798554
822	799675
823	800756
824	801853
825	802968
826	804070
827	805156
828	806246
829	807347
830	808451
831	809547
832	810648
833	811757
834	812865
835	813959
836	815050
837	816152
838	817244
839	818336
840	819418
841	820495
842	821614
843	822708
844	823802
845	824897
846	826002
847	827103
848	828187
849	829291
850	830385
851	831486
852	832575
853	833657
854	834739
855	835831
856	836933
857	838046
858	839152
859	840241
860	841330
861	842421
862	843519
863	844603
864	845692
865	846786
866	847916
867	849003
868	850099
869	851190
870	852285
871	853396
872	854501
873	855588
874	856688
875	857784
876	858864
877	859957
878	861050
879	862155
880	863257
881	864340
882	865452
883	866553
884	867648
885	868722
886	869810
887	870898
888	871988
889	873096
890	874192
891	875283
892	876377
893	877481
894	878591
895	879689
896	880791
897	881899
898	882996
899	884073
900	885157
901	886260
902	887360
903	888452
904	889554
905	890644
906	891732
907	892824
908	893922
909	895013
910	896116
911	897213
912	898314
913	899399
914	900495
915	901589
916	902687
917	903778
918	904879
919	905967
920	907069
921	908164
922	909247
923	910346
924	911442
925	912549
926	913656
927	914766
928	915859
929	916920
930	918004
931	919087
932	920189
933	921302
934	922394
935	923485
936	924566
937	925666
938	926764
939	927831
940	928917
941	930021
942	931119
943	932233
944	933320
945	934411
946	935514
947	936610
948	937702
949	938793
950	939888
951	940984
952	942069
953	943174
954	944238
955	945342
956	946441
957	947533
958	948639
959	949729
960	950829
961	951911
962	953016
963	954128
964	955193
965	956294
966	957365
967	958431
968	959523
969	960632
970	961710
971	962769
972	963869
973	964981
974	966086
975	967177
976	968279
977	969369
978	970469
979	971544
980	972634
981	973720
982	974820
983	975922
984	977023
985	978130
986	979231
987	980322
988	981422
989	982511
990	983609
991	984703
992	985804
993	986886
994	987989
995	989098
996	990189
997	991293
998	992397
999	993492
1000	994594
