n	time
1	1
2	23
3	55
4	87
5	129
6	171
7	213
8	255
9	307
10	359
11	411
12	463
13	515
14	567
15	619
16	671
17	729
18	791
19	853
20	914
21	976
22	1039
23	1100
24	1162
25	1224
26	1286
27	1348
28	1410
29	1472
30	1534
31	1596
32	1658
33	1730
34	1802
35	1874
36	1946
37	2018
38	2090
39	2161
40	2233
41	2305
42	2377
43	2450
44	2522
45	2593
46	2665
47	2737
48	2809
49	2881
50	2953
51	3025
52	3097
53	3169
54	3241
55	3313
56	3385
57	3457
58	3529
59	3601
60	3673
61	3745
62	3817
63	3889
64	3961
65	4043
66	4125
67	4207
68	4289
69	4371
70	4453
71	4535
72	4617
73	4699
74	4781
75	4863
76	4945
77	5026
78	5108
79	5190
80	5272
81	5354
82	5436
83	5518
84	5600
85	5683
86	5765
87	5847
88	5929
89	6010
90	6092
91	6174
92	6256
93	6338
94	6420
95	6502
96	6584
97	6666
98	6748
99	6830
100	6912
101	6994
102	7076
103	7158
104	7240
105	7322
106	7404
107	7486
108	7568
109	7650
110	7732
111	7814
112	7896
113	7978
114	8060
115	8142
116	8224
117	8306
118	8388
119	8470
120	8552
121	8634
122	8716
123	8798
124	8880
125	8962
126	9044
127	9126
128	9208
129	9300
130	9392
131	9484
132	9576
133	9668
134	9760
135	9852
136	9944
137	10036
138	10128
139	10220
140	10312
141	10404
142	10496
143	10588
144	10680
145	10772
146	10864
147	10956
148	11048
149	11133
150	11225
151	11317
152	11409
153	11500
154	11592
155	11684
156	11775
157	11867
158	11960
159	12052
160	12144
161	12236
162	12327
163	12419
164	12512
165	12604
166	12696
167	12787
168	12879
169	12972
170	13065
171	13157
172	13249
173	13340
174	13432
175	13525
176	13617
177	13707
178	13799
179	13892
180	13983
181	14075
182	14168
183	14259
184	14351
185	14443
186	14536
187	14627
188	14719
189	14811
190	14904
191	14995
192	15087
193	15179
194	15272
195	15363
196	15455
197	15547
198	15640
199	15731
200	15823
201	15915
202	16008
203	16099
204	16191
205	16283
206	16376
207	16467
208	16559
209	16651
210	16743
211	16835
212	16927
213	17019
214	17111
215	17204
216	17296
217	17387
218	17479
219	17571
220	17663
221	17755
222	17847
223	17939
224	18031
225	18123
226	18216
227	18307
228	18399
229	18491
230	18583
231	18675
232	18767
233	18859
234	18951
235	19043
236	19135
237	19228
238	19320
239	19411
240	19503
241	19595
242	19687
243	19779
244	19871
245	19963
246	20055
247	20147
248	20239
249	20331
250	20423
251	20515
252	20607
253	20699
254	20791
255	20883
256	20975
257	21077
258	21179
259	21281
260	21383
261	21485
262	21587
263	21689
264	21791
265	21893
266	21995
267	22097
268	22199
269	22301
270	22403
271	22505
272	22607
273	22709
274	22811
275	22912
276	23014
277	23116
278	23218
279	23321
280	23423
281	23525
282	23627
283	23729
284	23831
285	23933
286	24035
287	24137
288	24239
289	24341
290	24443
291	24545
292	24647
293	24748
294	24850
295	24952
296	25054
297	25157
298	25259
299	25361
300	25463
301	25565
302	25667
303	25769
304	25871
305	25972
306	26074
307	26176
308	26278
309	26380
310	26482
311	26583
312	26685
313	26787
314	26889
315	26992
316	27094
317	27196
318	27298
319	27400
320	27502
321	27604
322	27706
323	27807
324	27909
325	28011
326	28113
327	28216
328	28318
329	28420
330	28522
331	28624
332	28726
333	28827
334	28929
335	29031
336	29133
337	29236
338	29338
339	29441
340	29543
341	29645
342	29747
343	29849
344	29951
345	30052
346	30154
347	30256
348	30358
349	30461
350	30563
351	30665
352	30767
353	30867
354	30969
355	31071
356	31173
357	31276
358	31378
359	31479
360	31581
361	31683
362	31785
363	31888
364	31990
365	32091
366	32193
367	32295
368	32397
369	32499
370	32601
371	32704
372	32806
373	32907
374	33009
375	33111
376	33213
377	33315
378	33417
379	33520
380	33622
381	33723
382	33825
383	33927
384	34029
385	34131
386	34233
387	34336
388	34438
389	34539
390	34641
391	34743
392	34845
393	34947
394	35049
395	35152
396	35254
397	35355
398	35457
399	35559
400	35661
401	35763
402	35865
403	35968
404	36070
405	36171
406	36273
407	36375
408	36477
409	36579
410	36681
411	36784
412	36886
413	36987
414	37089
415	37191
416	37293
417	37395
418	37497
419	37599
420	37701
421	37803
422	37905
423	38007
424	38109
425	38211
426	38313
427	38415
428	38517
429	38620
430	38722
431	38824
432	38926
433	39027
434	39129
435	39231
436	39333
437	39435
438	39537
439	39639
440	39741
441	39843
442	39945
443	40047
444	40149
445	40251
446	40353
447	40455
448	40557
449	40659
450	40761
451	40864
452	40966
453	41067
454	41169
455	41271
456	41373
457	41475
458	41577
459	41679
460	41781
461	41883
462	41985
463	42087
464	42189
465	42291
466	42393
467	42495
468	42597
469	42699
470	42801
471	42903
472	43005
473	43108
474	43210
475	43312
476	43414
477	43515
478	43617
479	43719
480	43821
481	43923
482	44025
483	44127
484	44229
485	44331
486	44433
487	44535
488	44637
489	44739
490	44841
491	44943
492	45045
493	45147
494	45249
495	45351
496	45453
497	45555
498	45657
499	45759
500	45861
501	45963
502	46065
503	46167
504	46269
505	46371
506	46473
507	46575
508	46677
509	46779
510	46881
511	46983
512	47085
513	47197
514	47309
515	47421
516	47533
517	47645
518	47757
519	47869
520	47981
521	48093
522	48205
523	48317
524	48429
525	48541
526	48653
527	48765
528	48877
529	48989
530	49101
531	49213
532	49325
533	49437
534	49549
535	49661
536	49773
537	49885
538	49997
539	50109
540	50221
541	50333
542	50445
543	50557
544	50669
545	50781
546	50893
547	51005
548	51117
549	51228
550	51340
551	51452
552	51564
553	51676
554	51788
555	51900
556	52012
557	52125
558	52237
559	52349
560	52461
561	52573
562	52685
563	52797
564	52909
565	53021
566	53133
567	53245
568	53357
569	53469
570	53581
571	53693
572	53805
573	53917
574	54029
575	54141
576	54253
577	54365
578	54477
579	54589
580	54701
581	54813
582	54916
583	55028
584	55140
585	55251
586	55363
587	55475
588	55587
589	55698
590	55810
591	55923
592	56035
593	56148
594	56260
595	56372
596	56484
597	56596
598	56707
599	56819
600	56932
601	57044
602	57156
603	57268
604	57380
605	57492
606	57604
607	57715
608	57827
609	57938
610	58051
611	58163
612	58275
613	58386
614	58498
615	58611
616	58723
617	58835
618	58946
619	59058
620	59171
621	59282
622	59394
623	59506
624	59618
625	59730
626	59842
627	59954
628	60065
629	60178
630	60291
631	60403
632	60515
633	60627
634	60738
635	60850
636	60963
637	61075
638	61187
639	61298
640	61410
641	61522
642	61635
643	61747
644	61859
645	61969
646	62081
647	62194
648	62306
649	62418
650	62529
651	62641
652	62754
653	62867
654	62979
655	63090
656	63202
657	63314
658	63427
659	63538
660	63650
661	63763
662	63874
663	63986
664	64098
665	64210
666	64322
667	64434
668	64545
669	64657
670	64770
671	64882
672	64994
673	65107
674	65218
675	65330
676	65443
677	65556
678	65668
679	65779
680	65891
681	66003
682	66116
683	66227
684	66339
685	66452
686	66563
687	66675
688	66787
689	66899
690	67011
691	67123
692	67234
693	67346
694	67459
695	67570
696	67682
697	67795
698	67908
699	68019
700	68131
701	68243
702	68356
703	68468
704	68580
705	68690
706	68801
707	68913
708	69026
709	69137
710	69249
711	69362
712	69474
713	69586
714	69698
715	69811
716	69923
717	70034
718	70146
719	70257
720	70369
721	70481
722	70594
723	70705
724	70817
725	70931
726	71042
727	71154
728	71266
729	71378
730	71489
731	71601
732	71713
733	71826
734	71937
735	72049
736	72161
737	72274
738	72385
739	72497
740	72610
741	72722
742	72834
743	72947
744	73059
745	73169
746	73281
747	73394
748	73506
749	73617
750	73729
751	73842
752	73954
753	74065
754	74177
755	74290
756	74402
757	74514
758	74626
759	74739
760	74851
761	74961
762	75073
763	75186
764	75298
765	75400
766	75512
767	75625
768	75737
769	75847
770	75959
771	76073
772	76183
773	76296
774	76409
775	76521
776	76633
777	76744
778	76855
779	76968
780	77081
781	77191
782	77303
783	77417
784	77528
785	77639
786	77752
787	77864
788	77976
789	78089
790	78200
791	78313
792	78426
793	78535
794	78638
795	78751
796	78862
797	78974
798	79086
799	79198
800	79311
801	79421
802	79534
803	79646
804	79757
805	79871
806	79983
807	80094
808	80207
809	80319
810	80429
811	80541
812	80654
813	80766
814	80877
815	80990
816	81102
817	81214
818	81325
819	81439
820	81549
821	81662
822	81776
823	81886
824	81998
825	82110
826	82222
827	82333
828	82445
829	82558
830	82669
831	82782
832	82894
833	83007
834	83117
835	83230
836	83344
837	83453
838	83565
839	83678
840	83789
841	83901
842	84013
843	84126
844	84237
845	84350
846	84464
847	84573
848	84685
849	84797
850	84912
851	85021
852	85133
853	85246
854	85358
855	85469
856	85581
857	85694
858	85807
859	85918
860	86031
861	86142
862	86254
863	86366
864	86478
865	86590
866	86702
867	86813
868	86926
869	87037
870	87149
871	87261
872	87373
873	87485
874	87599
875	87710
876	87821
877	87934
878	88045
879	88157
880	88269
881	88382
882	88493
883	88606
884	88717
885	88830
886	88942
887	89053
888	89165
889	89278
890	89389
891	89502
892	89613
893	89725
894	89837
895	89949
896	90061
897	90174
898	90286
899	90398
900	90509
901	90622
902	90734
903	90846
904	90958
905	91069
906	91183
907	91294
908	91405
909	91517
910	91629
911	91741
912	91853
913	91965
914	92078
915	92190
916	92301
917	92413
918	92525
919	92637
920	92749
921	92861
922	92974
923	93086
924	93197
925	93309
926	93421
927	93533
928	93645
929	93757
930	93870
931	93981
932	94093
933	94205
934	94317
935	94429
936	94541
937	94653
938	94765
939	94877
940	94990
941	95103
942	95214
943	95325
944	95437
945	95550
946	95662
947	95774
948	95886
949	95998
950	96110
951	96222
952	96334
953	96446
954	96558
955	96669
956	96781
957	96893
958	97006
959	97118
960	97230
961	97341
962	97453
963	97565
964	97677
965	97789
966	97901
967	98013
968	98125
969	98237
